// Start Time: 00/00/   0 - 01:10:50
// Sample rate: 120.0Hz
// Scenario: 10.8
// Firmware Version: 2.6.1
Counter	Temperature	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	
43267	27.50	-9.762520	0.380186	0.452170	0.001621	-0.014692	-0.008659	1.734051	0.007751	-0.223187	
43268	27.50	-9.767400	0.375311	0.459424	-0.005365	-0.018299	0.000706	1.734728	0.009997	-0.222380	
43269	27.50	-9.767377	0.385034	0.452143	0.003251	-0.003318	0.014022	1.735690	0.010683	-0.223302	
43270	27.50	-9.767360	0.372993	0.444902	-0.008762	-0.004034	-0.002643	1.734613	0.010767	-0.225371	
43271	27.50	-9.762521	0.375349	0.452179	-0.007905	0.000381	0.000887	1.736052	0.010571	-0.223525	
43272	27.50	-9.762493	0.380253	0.442486	0.006802	-0.012952	-0.005953	1.733462	0.008476	-0.222604	
43273	27.50	-9.767362	0.389904	0.447293	-0.005280	-0.004903	-0.006923	1.734733	0.009991	-0.222255	
43274	27.50	-9.774677	0.385018	0.456959	-0.000090	-0.002264	-0.005938	1.734387	0.009075	-0.224400	
43275	27.50	-9.777080	0.385091	0.447265	-0.002696	-0.010242	-0.007808	1.733439	0.009269	-0.223348	
43276	27.50	-9.781970	0.389856	0.459344	0.007650	-0.001466	0.001998	1.734606	0.010249	-0.222388	
43277	27.50	-9.781990	0.389806	0.466607	-0.003656	-0.005050	0.010425	1.734291	0.007379	-0.223295	
43278	27.50	-9.774665	0.380215	0.452125	0.001569	0.001178	0.007987	1.737437	0.011076	-0.223173	
43279	27.50	-9.767377	0.385034	0.452143	-0.000231	-0.014849	0.012094	1.732750	0.009452	-0.222029	
43280	27.50	-9.762507	0.380219	0.447328	-0.000144	-0.004105	0.002696	1.733513	0.010975	-0.221966	
43281	27.50	-9.764944	0.375372	0.449749	-0.006999	0.005745	-0.003363	1.734825	0.008877	-0.222751	
43282	27.50	-9.767392	0.380164	0.456994	0.008564	-0.000516	-0.005774	1.733680	0.009408	-0.223579	
43283	27.50	-9.777132	0.389794	0.466625	-0.000127	-0.002313	0.000124	1.734605	0.010634	-0.222510	
